From;To
P43155;CRAT
O43772;SLC25A20
P80404;ABAT
P49189;ALDH9A1
P49419;ALDH7A1
P47895;ALDH1A3
P05091;ALDH2
P51648;ALDH3A2
P30837;ALDH1B1
P50440;GATM
P15104;GLUL
Q05329;GAD2
Q99259;GAD1
Q96A70;AZIN2
P18507;GABRG2
Q9UBS5;GABBR1
Q5JPH6;EARS2
O75899;GABBR2
P14867;GABRA1
P47867;Scg3
P47869;GABRA2
P34903;GABRA3
P48169;GABRA4
P31644;GABRA5
Q16445;GABRA6
P18505;GABRB1
P47870;GABRB2
P28472;GABRB3
O14764;GABRD
P78334;GABRE
Q8N1C3;GABRG1
Q99928;GABRG3
O00591;GABRP
P24046;GABRR1
P28476;GABRR2
A8MPY1;GABRR3
Q9UN88;GABRQ
A5YM72;CARNS1
P60520;GABARAPL2
O95166;GABARAP
Q9H0R8;GABARAPL1
Q04828;AKR1C1
P52895;AKR1C2
Q9NPD5;SLCO1B3
Q9Y6L6;SLCO1B1
O15438;ABCC3
O95342;ABCB11
Q12908;SLC10A2
Q14973;SLC10A1
P46721;SLCO1A2
Q96BD0;SLCO4A1
P51161;FABP6
P14920;DAO
Q9BWD1;ACAT2
Q96KN2;CNDP1
