"","Acc","TP","TN","FP","FN","OOB"
"1","0","0","0","1","1","0.82357619047619"
"2","0","0","0","1","1","0.475261904761905"
"3","0.5","1","0","0","1","0.758119047619048"
"4","0.5","0","1","1","0","0.698235714285714"
"5","0","0","0","1","1","0.727138095238095"
"6","0.5","1","0","0","1","0.890309523809524"
"7","0.5","1","0","0","1","0.786166666666667"
"8","0","0","0","1","1","0.284466666666667"
"9","0.5","0","1","1","0","0.645407142857143"
"10","0","0","0","1","1","0.559557142857143"
"11","0.5","1","0","0","1","0.918826190476191"
"12","0.5","1","0","0","1","0.621245238095238"
"13","0","0","0","1","1","0.620521428571429"
"14","0","0","0","1","1","0.725704761904762"
"15","0","0","0","1","1","0.376642857142857"
"16","0.5","0","1","1","0","0.412771428571429"
"17","0.5","1","0","0","1","0.472435714285714"
"18","0.5","1","0","0","1","0.782033333333333"
"19","1","1","1","0","0","0.978819047619048"
"20","0.5","1","0","0","1","0.80975"
"21","0.5","0","1","1","0","0.573809523809524"
"22","0.5","1","0","0","1","0.361940476190476"
"23","0.5","1","0","0","1","0.805704761904762"
"24","0.5","1","0","0","1","0.843995238095238"
"25","0","0","0","1","1","0.40447380952381"
"26","1","1","1","0","0","0.970878571428571"
"27","0.5","1","0","0","1","0.987464285714286"
"28","0.5","1","0","0","1","0.926104761904762"
"29","0.5","1","0","0","1","0.600292857142857"
"30","0.5","1","0","0","1","0.78232619047619"
"31","0","0","0","1","1","0.839135714285714"
"32","1","1","1","0","0","0.792407142857143"
"33","0.5","1","0","0","1","0.835990476190476"
"34","0.5","0","1","1","0","0.728059523809524"
"35","0.5","1","0","0","1","0.738964285714286"
"36","0.5","1","0","0","1","0.556321428571429"
"37","0.5","0","1","1","0","0.746961904761905"
"38","0.5","1","0","0","1","0.879183333333333"
"39","0.5","1","0","0","1","0.514907142857143"
"40","1","1","1","0","0","0.764309523809524"
"41","0.5","0","1","1","0","0.588452380952381"
"42","0","0","0","1","1","0.260640476190476"
"43","1","1","1","0","0","0.869526190476191"
"44","0.5","0","1","1","0","0.648928571428571"
"45","1","1","1","0","0","0.540357142857143"
"46","1","1","1","0","0","0.94882619047619"
"47","1","1","1","0","0","0.906897619047619"
"48","0.5","1","0","0","1","0.905057142857143"
"49","0","0","0","1","1","0.67357380952381"
"50","0.5","1","0","0","1","0.629247619047619"
"51","1","1","1","0","0","0.972464285714286"
"52","0.5","1","0","0","1","0.742738095238095"
"53","0.5","1","0","0","1","0.80622619047619"
"54","1","1","1","0","0","0.859457142857143"
"55","0.5","1","0","0","1","0.625733333333333"
"56","0.5","0","1","1","0","0.863942857142857"
"57","0","0","0","1","1","0.430404761904762"
"58","0.5","0","1","1","0","0.783904761904762"
"59","1","1","1","0","0","0.785711904761905"
"60","0.5","0","1","1","0","0.74922619047619"
"61","0.5","0","1","1","0","0.669511904761905"
"62","0.5","1","0","0","1","0.545166666666667"
"63","1","1","1","0","0","0.861145238095238"
"64","0.5","1","0","0","1","0.855297619047619"
"65","0.5","1","0","0","1","0.3583"
"66","0.5","0","1","1","0","0.652933333333333"
"67","0.5","0","1","1","0","0.643740476190476"
"68","0.5","1","0","0","1","0.895357142857143"
"69","0","0","0","1","1","0.3773"
"70","1","1","1","0","0","0.777014285714286"
"71","0","0","0","1","1","0.653202380952381"
"72","0.5","1","0","0","1","0.755526190476191"
"73","0.5","1","0","0","1","0.7371"
"74","0","0","0","1","1","0.813511904761905"
"75","1","1","1","0","0","0.925916666666667"
"76","0.5","1","0","0","1","0.626195238095238"
"77","0.5","1","0","0","1","0.804192857142857"
"78","0.5","1","0","0","1","0.831916666666667"
"79","0","0","0","1","1","0.618385714285714"
"80","0.5","1","0","0","1","0.8363"
"81","0","0","0","1","1","0.535169047619048"
"82","0.5","1","0","0","1","0.921047619047619"
"83","0.5","1","0","0","1","0.77487619047619"
"84","0.5","1","0","0","1","0.927811904761905"
"85","0","0","0","1","1","0.828835714285714"
"86","0.5","0","1","1","0","0.708419047619048"
"87","0","0","0","1","1","0.602738095238095"
"88","0","0","0","1","1","0.245145238095238"
"89","0.5","1","0","0","1","0.779788095238095"
"90","0.5","1","0","0","1","0.87875"
"91","1","1","1","0","0","0.977730952380952"
"92","0.5","1","0","0","1","0.904428571428571"
"93","1","1","1","0","0","0.663269047619048"
"94","0","0","0","1","1","0.392240476190476"
"95","0.5","1","0","0","1","0.533740476190476"
"96","0.5","0","1","1","0","0.686533333333333"
"97","0.5","1","0","0","1","0.954821428571429"
"98","0.5","1","0","0","1","0.467607142857143"
"99","0","0","0","1","1","0.285059523809524"
"100","0.5","1","0","0","1","0.707121428571429"
"101","0.5","0","1","1","0","0.606385714285714"
"102","0","0","0","1","1","0.263371428571429"
"103","0.5","0","1","1","0","0.529719047619048"
"104","1","1","1","0","0","0.887040476190476"
"105","0.5","1","0","0","1","0.616614285714286"
"106","0.5","1","0","0","1","0.746783333333333"
"107","1","1","1","0","0","0.860359523809524"
"108","0.5","1","0","0","1","0.532566666666667"
"109","0.5","0","1","1","0","0.75722619047619"
"110","0.5","1","0","0","1","0.817678571428571"
"111","0","0","0","1","1","0.48777619047619"
"112","0.5","0","1","1","0","0.83175"
"113","0.5","0","1","1","0","0.637392857142857"
"114","0.5","1","0","0","1","0.617371428571429"
"115","0","0","0","1","1","0.389619047619048"
"116","0.5","1","0","0","1","0.744783333333333"
"117","0.5","1","0","0","1","0.848778571428571"
"118","0.5","1","0","0","1","0.81257619047619"
"119","0.5","1","0","0","1","0.596228571428571"
"120","0.5","1","0","0","1","0.617538095238095"
"121","0.5","1","0","0","1","0.49685"
"122","0","0","0","1","1","0.684178571428571"
